HPO ID	Phenotype name	No. occurrences	Earliness (lower = earlier)	Example sentence
HP:0001156	Brachydactyly	3	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0001385	Hip dysplasia	3	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0003304	Spondylolysis	3	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0004322	Short stature	3	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0000924	Abnormality of the skeletal system	2	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0001762	Talipes equinovarus	2	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0001838	Rocker bottom foot	2	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0003302	Spondylolisthesis	2	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0009373	Type C brachydactyly	2	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
HP:0000118	Phenotypic abnormality	1	0	 389 402 hp 0001156 brachydactyly 389 409 hp 0009373 brachydactyly type c 744 757 hp 0003829 nonpenetrance 829 851 hp 0000924 skeletal abnormalities 880 894 hp 0001838 vertical talus 905 932 hp 0001385 developmental hip dysplasia 919 932 hp 0001385 hip dysplasia 947 960 hp 0004322 short stature 1001 1038 hp 0008419 premature vertebral end plate disease 1102 1115 hp 0003304 spondylolysis 1120 1137 hp 0003302 spondylolisthesis 1157 1183 hp 0009121 axial skeletal involvement 1406 1426 hp 0003812 phenotypic variation 1475 1494 hp 0001425 locus heterogeneity 1481 1494 hp 0001425 heterogeneity 1823 1836 hp 0003829 nonpenetrance 1981 1989 hp 0001762 clubfoot 1991 2004 hp 0004322 short stature 2006 2019 hp 0003304 spondylolysis
