HPO ID	Phenotype name	No. occurrences	Earliness (lower = earlier)	Example sentence
HP:0002664	Neoplasm	11	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0100008	Schwannoma	7	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0009588	Vestibular Schwannoma	4	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0000518	Cataract	3	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0000519	Developmental cataract	3	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0008069	Neoplasm of the skin	3	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0009594	Retinal hamartoma	3	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0010566	Hamartoma	3	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0001067	Neurofibromas	2	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
HP:0002858	Meningioma	2	0	 47 64 hp 0006746 neurofibromatosis 96 109 hp 0001425 heterogeneity 471 493 hp 0009588 vestibular schwannomas 482 493 hp 0100008 schwannomas 509 519 hp 0004375 cns tumors 513 519 hp 0002664 tumors 529 540 hp 0008069 skin tumors 534 540 hp 0002664 tumors 554 575 hp 0000478 ocular manifestations 586 595 hp 0000518 cataracts 600 618 hp 0009594 retinal hamartomas 692 714 hp 0009588 vestibular schwannomas 703 714 hp 0100008 schwannomas 782 791 hp 0000518 cataracts 801 812 hp 0008069 skin tumors 806 812 hp 0002664 tumors 822 835 hp 0010302 spinal tumors 829 835 hp 0002664 tumors 849 860 hp 0002858 meningiomas 991 1004 hp 0001425 heterogeneity 1162 1172 hp 0004375 cns tumors 1166 1172 hp 0002664 tumors 1184 1206 hp 0009588 vestibular schwannomas 1195 1206 hp 0100008 schwannomas 1235 1253 hp 0009594 retinal hamartomas
