HPO ID	Phenotype name	No. occurrences	Earliness (lower = earlier)	Example sentence
HP:0001250	Seizures	6	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0002133	Status epilepticus	6	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0001298	Encephalopathy	3	1	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0007239	Congenital encephalopathy	3	1	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0100022	Abnormality of movement	3	1	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0002013	Vomiting	2	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0007359	Focal-onset seizure	2	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0001251	Ataxia	2	1	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0002123	Generalized myoclonic seizures	1	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
HP:0011166	Focal myoclonic seizures	1	0	 15 22 hp 0001250 seizure 109 126 hp 0100022 movement problems 195 210 hp 0007087 jerky movements 195 210 hp 0007087 jerky movements 247 275 hp 0002123 myoclonic status epilepticus 247 256 hp 0001336 myoclonic 257 275 hp 0002133 status epilepticus 312 328 hp 0007359 partial seizures 320 328 hp 0001250 seizures 334 347 hp 0000496 eye deviation 352 360 hp 0002013 vomiting 382 391 hp 0011463 childhood 402 412 hp 0001275 epilepsies 420 428 hp 0001250 seizures 433 465 hp 0002353 electroencephalographic patterns 535 549 hp 0003680 nonprogressive 535 589 hp 0007030 nonprogressive age dependent myoclonic encephalopathy 575 589 hp 0001298 encephalopathy 668 674 hp 0001251 ataxia 751 760 hp 0001336 myoclonic 751 779 hp 0002123 myoclonic status epilepticus 761 779 hp 0002133 status epilepticus 824 842 hp 0100022 abnormal movements 824 865 hp 0007087 abnormal movements namely the jerky ones
